word_segment,instances,prominence
བློ་གྲོས་,4,0.03546728143287817
རྒྱལ་པོ,4,0.03546728143287817
སྐྱེ་བོ་,4,0.03546728143287817
ལམ་,4,0.03546728143287817
ང་,4,0.03546728143287817
རྨོངས་,4,0.03546728143287817
ལོག་པ,4,0.03546728143287817
ལྟུང་བ,4,0.03546728143287817
ས་པ་,4,0.03546728143287817
འགྲོ་,4,0.03546728143287817
མཆོག་,4,0.03546728143287817
བླངས་པ,4,0.03546728143287817
སེམས་བསྐྱེད་པ་,4,0.03546728143287817
ཕྱིས་,4,0.03546728143287817
མཁྱེན་པ་,4,0.03546728143287817
རྣམ་,4,0.03546728143287817
བློ,4,0.03546728143287817
བཅུ་,4,0.03546728143287817
ཁོང་,4,0.03546728143287817
འདི་ལྟར་,4,0.03546728143287817
ཅི་སྟེ་,4,0.03546728143287817
འགྱུར་བ་,4,0.03546728143287817
སུ་ཞིག་,4,0.03546728143287817
འགལ་རྐྱེན་,4,0.03546728143287817
ཞི་བ་,4,0.03546728143287817
ཅིའི་ཕྱིར་,4,0.03546728143287817
སྨོས་ཅི་,4,0.03546728143287817
དགོས,4,0.03546728143287817
ཁམས་,4,0.03546728143287817
དགེ་སྡིག་,4,0.03546728143287817
བརྒྱུད་མ,4,0.03546728143287817
བསྟན་,4,0.03546728143287817
ཉེས་དམིགས་,4,0.03546728143287817
གསོ་བ,4,0.03546728143287817
ཆུ་,4,0.03546728143287817
འཆིང་བ་,4,0.03546728143287817
ལན་,4,0.03546728143287817
ཐོག་མེད་,4,0.03546728143287817
སྤྱིར་,4,0.03546728143287817
དམྱལ་བ་,4,0.03546728143287817
དུད་འགྲོ་,4,0.03546728143287817
ཆེན་,4,0.03546728143287817
གངྒཱའི་,4,0.03546728143287817
ཀླུང་,4,0.03546728143287817
སྙེད་,4,0.03546728143287817
བྱེ་བ་,4,0.03546728143287817
དམ་པ,4,0.03546728143287817
འཕེལ་བ,4,0.03546728143287817
དཀ,4,0.03546728143287817
འདི་འདྲ,4,0.03546728143287817
ད་རེས་,4,0.03546728143287817
གཞན་དབང་,4,0.03546728143287817
ཤེས་པ་,4,0.03546728143287817
བསགས་,4,0.03546728143287817
བརྒྱ,4,0.03546728143287817
གཉའ་ཤིང་,4,0.03546728143287817
གི,4,0.03546728143287817
ཆུད་,4,0.03546728143287817
འཚོ་བ་,4,0.03546728143287817
སྟེང་,4,0.03546728143287817
ཐར་བ,4,0.03546728143287817
ཐར་,4,0.03546728143287817
ཕར་ཕྱིན་,4,0.03546728143287817
གསུམ་པ་,4,0.03546728143287817
ཇི་ཞིག་,4,0.03546728143287817
སམ་,4,0.03546728143287817
འགའ་ཞིག་,4,0.03546728143287817
ཆགས་པ,4,0.03546728143287817
གཟུགས་,4,0.03546728143287817
ཕྱི་རོལ་,4,0.03546728143287817
འབྲེལ་,4,0.03546728143287817
གང་ཟག་,4,0.03546728143287817
བསད་,4,0.03546728143287817
རང་རྒྱུད་,4,0.03546728143287817
བསྟེན་པ,4,0.03546728143287817
སྙིང་,4,0.03546728143287817
ལུས་སེམས་,4,0.03546728143287817
དཀའ་སྤྱད་,4,0.03546728143287817
འཇོམས་བྱེད་,4,0.03546728143287817
དེང་,4,0.03546728143287817
སྤོངས་,4,0.03546728143287817
འཁོན་,4,0.03546728143287817
གནས་ལུགས་,4,0.03546728143287817
ཡང་དག་,4,0.03546728143287817
ཚད་མ་,4,0.03546728143287817
ཕྱིར,4,0.03546728143287817
རྟོགས་པ,4,0.03546728143287817
འཇུག་ལྡོག་,3,0.026600461074658625
ལྷུར་ལེན་པ་,3,0.026600461074658625
བརྟགས་པ་,3,0.026600461074658625
ཤེས་བཞིན་,3,0.026600461074658625
